,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,355,0,0,0.825,0.825,0.825,[0],[0],[0],[0],[0],[0],[0],[0]
1,[0],10,5,1,100,80,355,0,1,0.9,1.725,2.55,[0],[0],[0],[0],[0],[0],[0],[0]
2,[0],10,5,1,100,80,355,0,2,0.2,1.925,4.475,[0],[0],[0],[0],[0],[0],[0],[0]
3,[0],10,5,1,100,80,355,0,3,0.025,1.95,6.425,[0],[0],[0],[0],[0],[0],[0],[0]
4,[0],10,5,1,100,80,355,0,4,0.7,2.65,9.075,[0],[0],[0],[0],[0],[0],[0],[0]
5,[0],10,5,1,100,80,355,1,0,0.5625,3.2125,12.2875,[0],[0],[0],[0],[0],[0],[0],[0]
6,[0],10,5,1,100,80,355,1,1,0.7625,3.975,16.2625,[0],[0],[0],[0],[0],[0],[0],[0]
7,[0],10,5,1,100,80,355,1,2,0.4875,4.4625,20.725,[0],[0],[0],[0],[0],[0],[0],[0]
8,[0],10,5,1,100,80,355,1,3,0.075,4.5375,25.2625,[0],[0],[0],[0],[0],[0],[0],[0]
9,[0],10,5,1,100,80,355,1,4,0.3375,4.875,30.1375,[0],[0],[0],[0],[0],[0],[0],[0]
10,[0],10,5,1,100,80,355,2,0,0.925,5.8,35.9375,[0],[0],[0],[0],[0],[0],[0],[0]
11,[0],10,5,1,100,80,355,2,1,1.2125,7.0125,42.95,[0],[0],[0],[0],[0],[0],[0],[0]
12,[0],10,5,1,100,80,355,2,2,1.125,8.1375,51.0875,[0],[0],[0],[0],[0],[0],[0],[0]
13,[0],10,5,1,100,80,355,2,3,1.2375,9.375,60.4625,[0],[0],[0],[0],[0],[0],[0],[0]
14,[0],10,5,1,100,80,355,2,4,0.6125,9.9875,70.45,[0],[0],[0],[0],[0],[0],[0],[0]
15,[0],10,5,1,100,80,355,3,0,0.775,10.7625,81.2125,[0],[0],[0],[0],[0],[0],[0],[0]
16,[0],10,5,1,100,80,355,3,1,1.0125,11.775,92.9875,[0],[0],[0],[0],[0],[0],[0],[0]
17,[0],10,5,1,100,80,355,3,2,0.5875,12.3625,105.35,[0],[0],[0],[0],[0],[0],[0],[0]
18,[0],10,5,1,100,80,355,3,3,1.1875,13.55,118.9,[0],[0],[0],[0],[0],[0],[0],[0]
19,[0],10,5,1,100,80,355,3,4,1.1875,14.7375,133.6375,[0],[0],[0],[0],[0],[0],[0],[0]
20,[0],10,5,1,100,80,355,4,0,0.5375,15.275,148.9125,[0],[0],[0],[0],[0],[0],[0],[0]
21,[0],10,5,1,100,80,355,4,1,0.125,15.4,164.3125,[0],[0],[0],[0],[0],[0],[0],[0]
22,[0],10,5,1,100,80,355,4,2,0.6375,16.0375,180.35,[0],[0],[0],[0],[0],[0],[0],[0]
23,[0],10,5,1,100,80,355,4,3,0.675,16.7125,197.0625,[0],[0],[0],[0],[0],[0],[0],[0]
24,[0],10,5,1,100,80,355,4,4,1.2,17.9125,214.975,[0],[0],[0],[0],[0],[0],[0],[0]
25,[0],10,5,1,100,80,355,5,0,0.6375,18.55,233.525,[0],[0],[0],[0],[0],[0],[0],[0]
26,[0],10,5,1,100,80,355,5,1,0.7625,19.3125,252.8375,[0],[0],[0],[0],[0],[0],[0],[0]
27,[0],10,5,1,100,80,355,5,2,1.2125,20.525,273.3625,[0],[0],[0],[0],[0],[0],[0],[0]
28,[0],10,5,1,100,80,355,5,3,0.4375,20.9625,294.325,[0],[0],[0],[0],[0],[0],[0],[0]
29,[0],10,5,1,100,80,355,5,4,0.3375,21.3,315.625,[0],[0],[0],[0],[0],[0],[0],[0]
30,[0],10,5,1,100,80,355,6,0,1.225,22.525,338.15,[0],[0],[0],[0],[0],[0],[0],[0]
31,[0],10,5,1,100,80,355,6,1,0.85,23.375,361.525,[0],[0],[0],[0],[0],[0],[0],[0]
32,[0],10,5,1,100,80,355,6,2,0.625,24.0,385.525,[0],[0],[0],[0],[0],[0],[0],[0]
33,[0],10,5,1,100,80,355,6,3,0.825,24.825,410.35,[0],[0],[0],[0],[0],[0],[0],[0]
34,[0],10,5,1,100,80,355,6,4,1.0375,25.8625,436.2125,[0],[0],[0],[0],[0],[0],[0],[0]
35,[0],10,5,1,100,80,355,7,0,0.925,26.7875,463.0,[0],[0],[0],[0],[0],[0],[0],[0]
36,[0],10,5,1,100,80,355,7,1,0.2625,27.05,490.05,[0],[0],[0],[0],[0],[0],[0],[0]
37,[0],10,5,1,100,80,355,7,2,0.1375,27.1875,517.2375,[0],[0],[0],[0],[0],[0],[0],[0]
38,[0],10,5,1,100,80,355,7,3,0.25,27.4375,544.675,[0],[0],[0],[0],[0],[0],[0],[0]
39,[0],10,5,1,100,80,355,7,4,0.8125,28.25,572.925,[0],[0],[0],[0],[0],[0],[0],[0]
40,[0],10,5,1,100,80,355,8,0,0.45,28.7,601.625,[0],[0],[0],[0],[0],[0],[0],[0]
41,[0],10,5,1,100,80,355,8,1,0.1125,28.8125,630.4375,[0],[0],[0],[0],[0],[0],[0],[0]
42,[0],10,5,1,100,80,355,8,2,0.2,29.0125,659.45,[0],[0],[0],[0],[0],[0],[0],[0]
43,[0],10,5,1,100,80,355,8,3,0.4625,29.475,688.925,[0],[0],[0],[0],[0],[0],[0],[0]
44,[0],10,5,1,100,80,355,8,4,0.55,30.025,718.95,[0],[0],[0],[0],[0],[0],[0],[0]
45,[0],10,5,1,100,80,355,9,0,0.1375,30.1625,749.1125,[0],[0],[0],[0],[0],[0],[0],[0]
46,[0],10,5,1,100,80,355,9,1,0.6875,30.85,779.9625,[0],[0],[0],[0],[0],[0],[0],[0]
47,[0],10,5,1,100,80,355,9,2,0.675,31.525,811.4875,[0],[0],[0],[0],[0],[0],[0],[0]
48,[0],10,5,1,100,80,355,9,3,0.4625,31.9875,843.475,[0],[0],[0],[0],[0],[0],[0],[0]
49,[0],10,5,1,100,80,355,9,4,0.2375,32.225,875.7,[0],[0],[0],[0],[0],[0],[0],[0]
