,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.4375,2.75,8.775,2.75,8.775,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.125,6.65,34.5625,6.65,34.5625,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.2125,7.8625,70.75,7.8625,70.75,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.55,9.6125,114.8375,9.6125,34.8375,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.5625,12.1,171.25,12.1,11.25,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.7125,15.8625,243.3375,15.8625,3.3375,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.05,19.0625,330.975,19.0625,10.975,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.85,23.4625,438.9625,23.4625,38.9625,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.225,26.0875,565.3625,26.0875,5.3625,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.9,29.2875,705.15,29.2875,65.15,[0]
